t,f,v
6.910718,12.3,-2.85325480000002
6.970662,16.3,-2.11594360000002
7.020677,17.3,-1.30069910000002
7.073361,14.3,-0.389265900000015
7.128053,12.3,0.392829699999987
7.183997,8.3,1.08094089999998
7.235626,6.3,1.50946159999998
7.295501,1.3,1.88667409999998
7.352058,-1.7,1.96019819999998
7.411077,-3.7,1.85986589999998
7.468799,-6.7,1.64629449999998
7.518789,-9.7,1.31136149999998
7.570698,-12.7,0.807844199999977
7.620853,-12.7,0.170875699999975
7.672562,-12.7,-0.485828600000023
7.739682,-10.7,-1.33825260000002
7.793936,-7.7,-1.91877040000003
7.853764,-1.7,-2.37944600000002
7.907809,2.3,-2.47132250000002
7.961836,7.3,-2.34706040000002
8.014934,13.3,-1.95944500000002
8.081029,16.3,-1.08038150000004
8.15343,15.3,0.0997547999999795
8.207877,11.3,0.932793899999975
8.28704,4.3,1.82733579999997
8.341868,-0.700000000000003,2.06309619999997
8.406213,-4.7,2.01805469999997
8.469715,-7.7,1.71959529999996
8.536775,-12.7,1.20323329999997
8.59959,-11.7,0.405482799999981
8.65188,-13.7,-0.206310200000031
8.70372,-10.7,-0.916518200000036
8.771819,-6.7,-1.64517750000004
8.831397,-1.7,-2.04435010000004
8.892708,6.3,-2.14857880000004
8.960652,14.3,-1.72053160000005
9.018104,16.3,-0.898968000000052
9.073329,16.3,0.0011994999999495
9.126998,11.3,0.876004199999967
9.18268,5.3,1.50521079999996
9.234194,0.299999999999997,1.77823499999996
9.288811,-2.7,1.79462009999996
9.343859,-5.7,1.64599049999996
9.402476,-9.7,1.31187359999996
9.453711,-11.7,0.814894099999962
9.509081,-11.7,0.167065099999963
9.563212,-11.7,-0.466267600000036
9.615982,-7.7,-1.08367660000004
9.673701,-3.7,-1.52811290000003
9.727072,1.3,-1.72558560000004
9.784967,11.3,-1.65032210000004
9.837003,16.3,-1.06231530000004
9.89238,18.3,-0.159670200000043
9.94377,15.3,0.780766799999982
10.011759,6.3,1.82099849999997
10.068624,0.299999999999997,2.17924799999997
10.12064,-4.7,2.19485279999997
10.173442,-6.7,1.94668339999997
10.226804,-11.7,1.58915799999997
10.285552,-12.7,0.901806399999972
10.336397,-13.7,0.256074899999963
10.395611,-9.7,-0.555156900000048
10.44953,-3.7,-1.07817120000004
10.500136,3.3,-1.26541340000004
10.549173,12.3,-1.10359130000004
10.599857,18.3,-0.480178100000031
10.650289,17.3,0.442727499999982
10.701583,12.3,1.33011369999996
10.751959,5.3,1.94973849999996
10.803176,-1.7,2.22118859999996
10.857052,-6.7,2.12959939999997
10.919853,-10.7,1.70883269999996
10.969483,-11.7,1.17779169999996
11.022989,-13.7,0.551771499999952
11.079129,-12.7,-0.217346500000038
11.131265,-12.7,-0.879473700000048
11.189817,-10.7,-1.62308410000003
11.245519,-7.7,-2.21909550000004
11.295049,-3.7,-2.60047650000004
11.346388,-0.700000000000003,-2.79043080000004
11.408925,7.3,-2.83420670000004
11.462089,9.3,-2.44610950000003
11.521747,9.3,-1.89129010000004
11.572576,4.3,-1.41858040000004
11.625744,-1.7,-1.18995800000004
11.692783,-5.7,-1.30392430000005
11.748044,-7.7,-1.61891200000005
11.799402,-7.7,-2.01436860000005
11.852809,-8.7,-2.42560250000005
11.906176,-9.7,-2.88989540000005
11.956974,-9.7,-3.38263600000005
12.014185,-9.7,-3.93758270000004
12.066721,-9.7,-4.44718190000004
12.125047,-9.7,-5.01294410000005
12.180061,-9.7,-5.54657990000005
12.232763,-9.7,-6.05778930000005
12.284962,-9.7,-6.56411960000005
12.337716,-9.7,-7.07583340000005
12.392318,-9.7,-7.60547280000004
12.447865,-9.7,-8.14427870000005
12.499838,-9.7,-8.64841680000005
12.550587,-9.7,-9.14068210000005
12.610251,-9.7,-9.71942290000004
12.663019,-9.7,-10.2312725
12.713852,-9.7,-10.7243526
12.765712,-9.7,-11.2273946
12.817819,-9.7,-11.7328325
12.872432,-9.7,-12.2625786
12.923842,-9.7,-12.7612556
12.977781,-9.7,-13.2844639
13.031902,-9.7,-13.8094376000001
13.084,-9.7,-14.3147882
13.136796,-9.7,-14.8269094000001
13.19827,-9.7,-15.4232072000001
13.249424,-9.7,-15.919401
13.318387,-9.7,-16.5883421
13.371745,-9.7,-17.1059147000001
13.457728,-9.7,-17.9399498
13.514093,-9.7,-18.4866903000001
13.564965,-9.7,-18.9801487000001
13.615286,-9.7,-19.4682624
13.665695,-9.7,-19.9572297
13.715932,-9.7,-20.4445286000001
13.776149,-9.7,-21.0286335000001
13.832363,-9.7,-21.5739093000001
